                  omega_v                        N
                  1.88547                       97
                  1.88747                       97
                  1.88947                       97
                  1.89147                       97
                  1.89347                       97
                  1.89547                       97
                  1.89748                       97
                  1.89948                       97
                  1.90148                       97
                  1.90348                       97
                  1.90548                       97
                  1.90748                       97
                  1.90949                       97
                  1.91149                       97
                  1.91349                       97
                  1.91549                       97
                  1.91749                       97
                   1.9195                       97
                   1.9215                       97
                   1.9235                       97
                   1.9255                       97
                   1.9275                       97
                   1.9295                       97
                  1.93151                       97
                  1.93351                       97
                  1.93551                       97
                  1.93751                       97
                  1.93951                       97
                  1.94151                       97
                  1.94352                       97
                  1.94552                       97
                  1.94752                       97
                  1.94952                       97
                  1.95152                       97
                  1.95352                       97
                  1.95553                       97
                  1.95753                       97
                  1.95953                       97
                  1.96153                       97
                  1.96353                       97
                  1.96554                       97
                  1.96754                       97
                  1.96954                       97
                  1.97154                       97
                  1.97354                       97
                  1.97554                       97
                  1.97755                       97
                  1.97955                       97
                  1.98155                       97
                  1.98355                       97
                  1.98555                       97
                  1.98755                       97
                  1.98956                       97
                  1.99156                       97
                  1.99356                       97
                  1.99556                       97
                  1.99756                       97
                  1.99956                       97
                  2.00157                       97
                  2.00357                       97
                  2.00557                       97
                  2.00757                       97
                  2.00957                       97
                  2.01158                       97
                  2.01358                       97
                  2.01558                       97
                  2.01758                       97
                  2.01958                       97
                  2.02158                       97
                  2.02359                       97
                  2.02559                       97
                  2.02759                       97
                  2.02959                       97
                  2.03159                       97
                  2.03359                       97
                   2.0356                       97
                   2.0376                       97
                   2.0396                       97
                   2.0416                       97
                   2.0436                       97
                   2.0456                       97
                  2.04761                       97
                  2.04961                       97
                  2.05161                       97
                  2.05361                       97
                  2.05561                       97
                  2.05762                       97
                  2.05962                       97
                  2.06162                       97
                  2.06362                       97
                  2.06562                       97
                  2.06762                       97
                  2.06963                       97
                  2.07163                       97
                  2.07363                       97
                  2.07563                       97
                  2.07763                       97
                  2.07963                       97
                  2.08164                       97
                  2.08364                       97
                  2.08564                       97
                  2.08764                       97
                  2.08964                       97
                  2.09164                       97
                  2.09365                       97
                  2.09565                       97
                  2.09765                       97
                  2.09965                       97
                  2.10165                       97
                  2.10366                       97
                  2.10566                       97
                  2.10766                       97
                  2.10966                       97
                  2.11166                       97
                  2.11366                       97
                  2.11567                       97
                  2.11767                       97
                  2.11967                       97
                  2.12167                       97
                  2.12367                       97
                  2.12567                       97
                  2.12768                       97
                  2.12968                       97
                  2.13168                       97
                  2.13368                       97
                  2.13568                       97
                  2.13768                       97
                  2.13969                       97
                  2.14169                       97
                  2.14369                       97
                  2.14569                       97
                  2.14769                       97
                   2.1497                       97
                   2.1517                       97
                   2.1537                       97
                   2.1557                       97
                   2.1577                       97
                   2.1597                       97
                  2.16171                       97
                  2.16371                       97
                  2.16571                       97
                  2.16771                       97
                  2.16971                       97
                  2.17171                       97
                  2.17372                       97
                  2.17572                       97
                  2.17772                       97
                  2.17972                       97
                  2.18172                       97
                  2.18372                       97
                  2.18573                       97
                  2.18773                       97
                  2.18973                       97
                  2.19173                       97
                  2.19373                       97
                  2.19574                       97
                  2.19774                       97
                  2.19974                       97
                  2.20174                       97
                  2.20374                       97
                  2.20574                       97
                  2.20775                       97
                  2.20975                       97
                  2.21175                       97
                  2.21375                       97
                  2.21575                       97
                  2.21775                       97
                  2.21976                       97
                  2.22176                       97
                  2.22376                       97
                  2.22576                       97
                  2.22776                       97
                  2.22977                       97
                  2.23177                       97
                  2.23377                       97
                  2.23577                       97
                  2.23777                       97
                  2.23977                       97
                  2.24178                       97
                  2.24378                       97
                  2.24578                       97
                  2.24778                       97
                  2.24978                       97
                  2.25178                       97
                  2.25379                       97
                  2.25579                       97
                  2.25779                       97
                  2.25979                       97
                  2.26179                       97
                  2.26379                       97
                   2.2658                       97
                   2.2678                       97
                   2.2698                       97
                   2.2718                       97
                   2.2738                       97
                  2.27581                       97
                  2.27781                       97
                  2.27981                       97
                  2.28181                       97
                  2.28381                       97
                  2.28581                       97
                  2.28782                       97
                  2.28982                       97
                  2.29182                       97
                  2.29382                       97
                  2.29582                       97
                  2.29782                       97
                  2.29983                       97
                  2.30183                       97
                  2.30383                       97
                  2.30583                       97
                  2.30783                       97
                  2.30983                       97
                  2.31184                       97
                  2.31384                       97
                  2.31584                       97
                  2.31784                       97
                  2.31984                       97
                  2.32185                       97
                  2.32385                       97
                  2.32585                       97
                  2.32785                       97
                  2.32985                       97
                  2.33185                       97
                  2.33386                       97
                  2.33586                       97
                  2.33786                       97
                  2.33986                       97
                  2.34186                       97
                  2.34386                       97
                  2.34587                       97
                  2.34787                       97
                  2.34987                       97
                  2.35187                       97
                  2.35387                       97
                  2.35587                       97
                  2.35788                       97
                  2.35988                       97
                  2.36188                       97
                  2.36388                       97
                  2.36588                       97
                  2.36789                       97
                  2.36989                       97
                  2.37189                       97
                  2.37389                       97
                  2.37589                       97
                  2.37789                       97
                   2.3799                       97
                   2.3819                       97
                   2.3839                       96
                   2.3859                       96
                   2.3879                       96
                   2.3899                       97
                  2.39191                       97
                  2.39391                       97
                  2.39591                       97
                  2.39791                       97
                  2.39991                       97
                  2.40191                       97
                  2.40392                       97
                  2.40592                       97
                  2.40792                       97
                  2.40992                       97
                  2.41192                       97
                  2.41393                       97
                  2.41593                       97
                  2.41793                       97
                  2.41993                       97
                  2.42193                       97
                  2.42393                       97
                  2.42594                       97
                  2.42794                       97
                  2.42994                       97
                  2.43194                       97
                  2.43394                       97
                  2.43594                       97
                  2.43795                       97
                  2.43995                       97
                  2.44195                       97
                  2.44395                       97
                  2.44595                       97
                  2.44795                       97
                  2.44996                       97
                  2.45196                       97
                  2.45396                       97
                  2.45596                       97
                  2.45796                       97
                  2.45997                       97
                  2.46197                       97
                  2.46397                       97
                  2.46597                       97
                  2.46797                       97
                  2.46997                       97
                  2.47198                       97
                  2.47398                       97
                  2.47598                       97
                  2.47798                       97
                  2.47998                       97
                  2.48198                       97
                  2.48399                       97
                  2.48599                       97
                  2.48799                       97
                  2.48999                       97
                  2.49199                       97
                  2.49399                       97
                    2.496                       97
                    2.498                       97
                      2.5                       97
